Pro,Anti,Year,Party,Total,Index
15,2,2005,D,17,259
0,18,2005,R,18,260
16,2,2005,D,18,261
10,8,2005,D,18,262
16,2,2005,D,18,263
0,18,2005,R,18,264
1,17,2005,R,18,265
2,16,2005,R,18,266
0,18,2005,R,18,267
2,16,2005,R,18,268
0,18,2005,R,18,269
0,18,2005,R,18,270
1,17,2005,R,18,271
18,0,2005,D,18,273
0,18,2005,R,18,274
0,18,2005,R,18,276
8,10,2005,R,18,277
6,12,2005,R,18,279
15,0,2005,D,15,281
14,4,2005,R,18,282
13,5,2005,R,18,283
14,4,2005,R,18,284
2,16,2005,R,18,285
18,0,2005,D,18,286
3,15,2005,R,18,287
16,2,2005,D,18,288
17,0,2005,D,17,289
15,0,2005,D,15,290
6,12,2005,R,18,291
18,0,2005,D,18,292
18,0,2005,D,18,293
4,14,2005,R,18,295
0,18,2005,R,18,296
18,0,2005,D,18,297
17,1,2005,D,18,298
17,1,2005,D,18,299
2,16,2005,R,18,300
17,1,2005,D,18,301
17,1,2005,D,18,302
13,5,2005,D,18,303
18,0,2005,D,18,304
17,1,2005,D,18,305
16,1,2005,D,17,306
8,7,2005,D,15,307
16,2,2005,D,18,308
13,1,2005,D,14,310
2,16,2005,R,18,311
18,0,2005,D,18,312
17,1,2005,D,18,313
17,1,2005,D,18,314
17,1,2005,D,18,315
17,1,2005,D,18,316
3,8,2005,R,11,317
3,15,2005,R,18,319
17,1,2005,D,18,321
16,1,2005,D,17,322
3,1,2005,R,4,323
14,4,2005,R,18,324
4,14,2005,R,18,326
2,16,2005,R,18,327
17,1,2005,D,18,328
16,2,2005,D,18,329
1,17,2005,R,18,330
16,2,2005,D,18,331
16,2,2005,D,18,332
9,8,2005,R,17,333
17,1,2005,D,18,334
2,16,2005,R,18,335
1,16,2005,R,17,336
12,5,2005,D,17,337
0,18,2005,R,18,338
1,16,2005,R,17,339
2,16,2005,R,18,340
1,16,2005,R,17,341
17,1,2005,D,18,343
17,1,2005,D,18,344
10,8,2005,D,18,345
2,16,2005,R,18,346
0,10,2005,R,10,347
0,4,2005,R,4,348
1,17,2005,R,18,349
0,17,2005,R,17,350
1,17,2005,R,18,352
14,3,2005,D,17,353
1,16,2005,R,17,355
0,18,2005,R,18,356
16,2,2005,D,18,357
18,0,2005,D,18,358
15,3,2005,D,18,359
1,17,2005,R,18,360
18,0,2005,D,18,361
2,15,2005,R,17,363
1,17,2005,R,18,364
0,18,2005,R,18,365
16,2,2005,D,18,366
2,16,2005,R,18,367
0,18,2005,R,18,369
5,13,2005,D,18,370
0,17,2005,R,17,371
0,18,2005,R,18,372
0,17,2005,R,17,373
18,0,2005,D,18,374
2,16,2005,R,18,375
18,0,2005,D,18,376
18,0,2005,D,18,377
18,0,2005,D,18,378
13,4,2005,D,17,379
16,1,2005,D,17,380
1,16,2005,R,17,381
0,18,2005,R,18,382
0,18,2005,R,18,384
10,8,2005,R,18,385
5,12,2005,R,17,386
11,7,2005,R,18,388
0,18,2005,R,18,390
0,18,2005,R,18,391
12,6,2005,D,18,392
10,8,2005,D,18,393
17,1,2005,D,18,394
11,7,2005,D,18,395
0,18,2005,R,18,396
0,18,2005,R,18,397
10,8,2005,D,18,398
0,18,2005,R,18,399
6,12,2005,R,18,400
18,0,2005,D,18,401
18,0,2005,D,18,402
1,17,2005,R,18,403
0,18,2005,R,18,404
1,17,2005,R,18,405
5,13,2005,R,18,406
16,2,2005,D,18,407
14,3,2005,D,17,408
10,8,2005,D,18,409
1,17,2005,R,18,410
0,18,2005,R,18,412
2,16,2005,R,18,413
6,12,2005,D,18,414
12,6,2005,D,18,415
11,7,2005,D,18,416
1,17,2005,R,18,417
9,9,2005,D,18,418
12,5,2005,D,17,419
1,17,2005,R,18,421
1,17,2005,R,18,422
0,17,2005,R,17,423
0,17,2005,R,17,424
1,17,2005,R,18,425
0,18,2005,R,18,426
0,17,2005,R,17,427
0,18,2005,R,18,428
10,8,2005,D,18,429
0,18,2005,R,18,430
0,17,2005,R,17,431
0,18,2005,R,18,432
0,18,2005,R,18,433
8,7,2005,R,15,434
6,12,2005,D,18,435
7,10,2005,D,17,436
7,11,2005,D,18,437
11,6,2005,D,17,438
0,18,2005,R,18,439
11,7,2005,D,18,440
0,18,2005,R,18,441
1,17,2005,R,18,442
0,18,2005,R,18,443
0,18,2005,R,18,444
17,0,2005,D,17,445
0,18,2005,R,18,446
6,12,2005,D,18,447
6,12,2005,D,18,448
7,10,2005,D,17,449
16,2,2005,D,18,450
0,17,2005,R,17,451
0,17,2005,R,17,452
0,18,2005,R,18,453
10,8,2005,D,18,454
0,18,2005,R,18,455
2,14,2005,R,16,456
1,17,2005,R,18,457
15,3,2005,D,18,458
1,17,2005,R,18,459
5,13,2005,R,18,460
0,18,2005,R,18,461
1,17,2005,R,18,462
16,2,2005,D,18,463
10,8,2005,D,18,464
5,13,2005,R,18,465
6,12,2005,R,18,466
18,0,2005,D,18,467
16,2,2005,D,18,468
17,1,2005,D,18,469
0,18,2005,R,18,470
0,18,2005,R,18,471
15,3,2005,D,18,472
17,1,2005,D,18,473
5,13,2005,R,18,474
18,0,2005,D,18,475
10,8,2005,D,18,476
2,16,2005,R,18,477
15,3,2005,D,18,478
2,16,2005,R,18,479
18,0,2005,D,18,480
18,0,2005,D,18,481
18,0,2005,D,18,482
3,15,2005,R,18,483
3,15,2005,R,18,484
18,0,2005,D,18,485
4,14,2005,R,18,486
1,15,2005,R,16,488
3,9,2006,R,12,489
1,11,2006,R,12,490
2,10,2006,R,12,491
0,12,2006,R,12,492
4,7,2006,D,11,493
1,11,2006,R,12,494
6,6,2006,D,12,495
0,12,2006,R,12,496
1,11,2006,R,12,497
0,9,2006,R,9,498
0,9,2006,R,9,499
11,1,2006,D,12,500
0,9,2006,R,9,501
1,7,2006,R,8,503
12,0,2006,D,12,504
0,9,2006,R,9,505
3,9,2006,D,12,507
11,0,2006,D,11,508
1,11,2006,R,12,509
3,9,2006,D,12,510
11,1,2006,D,12,511
0,12,2006,R,12,512
1,11,2006,R,12,513
0,12,2006,R,12,514
12,0,2006,D,12,515
12,0,2006,D,12,516
12,0,2006,D,12,517
12,0,2006,D,12,518
12,0,2006,D,12,519
12,0,2006,D,12,520
2,9,2006,R,11,521
11,0,2006,D,11,523
12,0,2006,D,12,524
12,0,2006,D,12,525
12,0,2006,D,12,526
11,0,2006,D,11,527
12,0,2006,D,12,528
7,5,2006,D,12,529
0,11,2006,R,11,530
5,6,2006,D,11,531
0,12,2006,R,12,532
1,11,2006,R,12,533
12,0,2006,D,12,535
1,11,2006,R,12,536
1,11,2006,R,12,537
2,10,2006,R,12,538
12,0,2006,D,12,539
12,0,2006,D,12,540
12,0,2006,D,12,541
12,0,2006,D,12,542
12,0,2006,D,12,543
12,0,2006,D,12,544
12,0,2006,D,12,545
12,0,2006,D,12,546
12,0,2006,D,12,547
12,0,2006,D,12,548
11,1,2006,D,12,549
12,0,2006,D,12,551
12,0,2006,D,12,552
2,10,2006,R,12,553
0,12,2006,R,12,554
0,12,2006,R,12,555
9,3,2006,D,12,556
1,11,2006,R,12,557
3,8,2006,R,11,558
2,10,2006,R,12,559
12,0,2006,D,12,560
3,9,2006,R,12,562
0,12,2006,R,12,563
0,1,2006,R,1,564
11,0,2006,D,11,566
0,12,2006,R,12,567
11,0,2006,D,11,568
12,0,2006,D,12,569
12,0,2006,D,12,570
7,4,2006,D,11,571
1,6,2006,R,7,572
0,12,2006,R,12,573
1,10,2006,R,11,575
1,11,2006,R,12,576
4,0,2006,D,4,578
10,2,2006,R,12,579
12,0,2006,D,12,581
11,1,2006,R,12,582
10,2,2006,R,12,583
10,2,2006,R,12,585
1,11,2006,R,12,586
4,8,2006,D,12,587
11,1,2006,D,12,588
1,11,2006,R,12,589
2,10,2006,R,12,590
1,11,2006,R,12,591
0,12,2006,R,12,592
2,10,2006,R,12,593
3,9,2006,R,12,594
6,6,2006,R,12,595
12,0,2006,D,12,596
1,11,2006,R,12,598
3,8,2006,R,11,599
2,10,2006,R,12,601
0,12,2006,R,12,602
7,5,2006,R,12,603
11,1,2006,D,12,605
4,8,2006,R,12,606
12,0,2006,D,12,607
12,0,2006,D,12,608
2,9,2006,R,11,609
6,6,2006,R,12,610
11,0,2006,D,11,612
1,11,2006,R,12,613
2,10,2006,R,12,614
2,10,2006,R,12,615
3,7,2006,D,10,616
5,7,2006,D,12,617
12,0,2006,D,12,619
12,0,2006,D,12,620
1,11,2006,R,12,621
0,12,2006,R,12,622
0,12,2006,R,12,623
1,11,2006,R,12,624
0,12,2006,R,12,626
0,12,2006,R,12,627
6,6,2006,D,12,628
9,3,2006,D,12,629
9,3,2006,D,12,630
12,0,2006,D,12,631
1,11,2006,R,12,633
0,12,2006,R,12,635
7,3,2006,D,10,636
11,1,2006,D,12,637
11,1,2006,D,12,638
12,0,2006,D,12,639
11,1,2006,D,12,640
1,11,2006,R,12,641
10,1,2006,D,11,643
10,2,2006,D,12,644
12,0,2006,D,12,645
9,2,2006,R,11,646
3,9,2006,R,12,647
9,3,2006,D,12,648
4,8,2006,R,12,649
10,2,2006,R,12,651
0,11,2006,R,11,652
1,0,2006,D,1,653
3,9,2006,R,12,655
0,11,2006,R,11,656
11,1,2006,D,12,657
0,12,2006,R,12,658
0,12,2006,R,12,660
0,12,2006,R,12,661
0,11,2006,R,11,662
0,12,2006,R,12,663
12,0,2006,D,12,664
0,12,2006,R,12,665
1,11,2006,R,12,667
1,10,2006,R,11,669
5,2,2006,R,7,671
6,6,2006,D,12,673
0,12,2006,R,12,674
0,12,2006,R,12,675
1,11,2006,R,12,676
0,12,2006,R,12,677
11,1,2006,D,12,679
0,12,2006,R,12,680
3,9,2006,R,12,681
2,10,2006,R,12,682
0,12,2006,R,12,683
1,11,2006,R,12,685
2,10,2006,R,12,686
11,1,2006,D,12,687
1,11,2006,R,12,688
6,6,2006,D,12,689
1,11,2006,D,12,690
0,12,2006,R,12,691
0,12,2006,R,12,692
0,12,2006,R,12,693
0,12,2006,R,12,694
12,0,2006,D,12,695
9,3,2006,D,12,696
8,4,2006,R,12,697
11,1,2006,D,12,698
12,0,2006,D,12,699
11,1,2006,D,12,701
12,0,2006,D,12,702
7,5,2006,R,12,703
12,0,2006,D,12,704
12,0,2006,D,12,705
12,0,2006,D,12,706
12,0,2006,D,12,707
12,0,2006,D,12,708
12,0,2006,D,12,709
12,0,2006,D,12,710
12,0,2006,D,12,712
12,0,2006,D,12,713
12,0,2006,D,12,714
12,0,2006,D,12,715
11,1,2006,D,12,716
5,0,2006,D,5,717
0,12,2006,R,12,718
9,3,2006,R,12,719
1,11,2006,R,12,720
12,0,2006,D,12,721
6,6,2006,R,12,722
7,5,2006,R,12,723
1,11,2006,R,12,725
0,12,2006,R,12,726
2,10,2006,R,12,727
2,10,2006,R,12,728
12,0,2006,D,12,729
12,0,2006,D,12,730
12,0,2006,D,12,731
12,0,2006,D,12,732
0,11,2006,R,11,733
1,11,2006,R,12,735
10,2,2006,R,12,736
12,0,2006,D,12,737
11,1,2006,D,12,738
4,8,2006,R,12,739
2,10,2006,D,12,741
8,3,2006,D,11,742
0,12,2006,R,12,743
6,6,2006,D,12,744
2,10,2006,R,12,745
5,7,2006,D,12,746
11,1,2006,D,12,747
1,11,2006,R,12,748
12,0,2006,D,12,749
6,6,2006,D,12,750
9,1,2006,D,10,751
1,11,2006,R,12,752
0,10,2006,R,10,753
1,11,2006,R,12,754
1,11,2006,R,12,755
0,12,2006,R,12,756
3,9,2006,R,12,757
1,11,2006,R,12,758
1,11,2006,R,12,759
12,0,2006,D,12,761
0,11,2006,R,11,762
1,11,2006,R,12,764
10,2,2006,R,12,765
8,4,2006,R,12,767
12,0,2006,D,12,769
10,2,2006,R,12,770
10,2,2006,R,12,771
11,1,2006,R,12,772
3,9,2006,R,12,773
12,0,2006,D,12,774
10,2,2006,R,12,775
12,0,2006,D,12,776
12,0,2006,D,12,777
11,0,2006,D,11,778
8,4,2006,R,12,779
12,0,2006,D,12,780
2,10,2006,R,12,783
0,12,2006,R,12,784
12,0,2006,D,12,785
11,0,2006,D,11,786
11,1,2006,D,12,787
1,10,2006,R,11,788
12,0,2006,D,12,789
11,0,2006,D,11,790
10,2,2006,D,12,791
11,1,2006,D,12,792
12,0,2006,D,12,793
12,0,2006,D,12,794
10,2,2006,D,12,795
12,0,2006,D,12,796
11,1,2006,D,12,798
2,10,2006,R,12,799
11,1,2006,D,12,800
12,0,2006,D,12,801
12,0,2006,D,12,802
12,0,2006,D,12,803
12,0,2006,D,12,804
11,1,2006,R,12,805
5,5,2006,R,10,807
12,0,2006,D,12,809
12,0,2006,D,12,810
3,9,2006,R,12,811
10,2,2006,R,12,812
7,5,2006,R,12,814
1,6,2006,R,7,815
11,1,2006,D,12,816
11,0,2006,D,11,817
4,8,2006,R,12,818
9,3,2006,D,12,819
9,3,2006,D,12,820
6,6,2006,R,12,821
11,1,2006,D,12,822
1,10,2006,R,11,823
1,10,2006,R,11,824
8,4,2006,D,12,825
2,10,2006,R,12,826
0,11,2006,R,11,827
0,11,2006,R,11,828
1,11,2006,R,12,829
11,1,2006,D,12,831
11,1,2006,D,12,832
8,4,2006,D,12,833
1,11,2006,R,12,834
1,11,2006,R,12,836
1,11,2006,R,12,837
0,12,2006,R,12,838
2,10,2006,R,12,840
9,1,2006,D,10,841
0,12,2006,R,12,843
0,12,2006,R,12,844
12,0,2006,D,12,845
12,0,2006,D,12,846
11,1,2006,D,12,847
1,11,2006,R,12,848
12,0,2006,D,12,849
4,8,2006,R,12,851
3,9,2006,R,12,852
1,11,2006,R,12,853
11,1,2006,D,12,854
2,10,2006,R,12,855
2,9,2006,R,11,857
0,11,2006,D,11,858
0,12,2006,R,12,859
1,11,2006,R,12,860
0,11,2006,R,11,861
12,0,2006,D,12,862
2,10,2006,R,12,863
11,1,2006,D,12,864
10,2,2006,D,12,865
11,1,2006,D,12,866
9,3,2006,D,12,867
12,0,2006,D,12,868
3,9,2006,R,12,869
3,9,2006,R,12,870
0,12,2006,R,12,872
8,3,2006,R,11,873
8,3,2006,R,11,874
11,0,2006,R,11,876
1,11,2006,R,12,878
1,10,2006,R,11,879
8,3,2006,D,11,880
7,5,2006,D,12,881
12,0,2006,D,12,882
9,3,2006,D,12,883
2,10,2006,R,12,884
1,11,2006,R,12,885
6,6,2006,D,12,886
2,10,2006,R,12,887
5,7,2006,R,12,888
4,0,2006,D,4,889
12,0,2006,D,12,890
1,11,2006,R,12,891
0,11,2006,R,11,892
1,11,2006,R,12,893
5,7,2006,R,12,894
11,1,2006,D,12,895
12,0,2006,D,12,896
6,6,2006,D,12,897
2,10,2006,R,12,898
1,10,2006,R,11,900
0,12,2006,R,12,901
5,7,2006,D,12,902
12,0,2006,D,12,903
9,3,2006,D,12,904
0,11,2006,R,11,905
5,7,2006,D,12,906
8,2,2006,D,10,907
0,11,2006,R,11,909
2,10,2006,R,12,910
0,11,2006,R,11,911
0,12,2006,R,12,912
1,11,2006,R,12,913
1,9,2006,R,10,914
1,11,2006,R,12,915
1,11,2006,R,12,916
8,4,2006,D,12,917
2,10,2006,R,12,918
0,12,2006,R,12,919
0,12,2006,R,12,920
0,12,2006,R,12,921
3,9,2006,R,12,922
5,7,2006,D,12,923
4,7,2006,D,11,924
2,10,2006,D,12,925
9,3,2006,D,12,926
0,12,2006,R,12,927
8,3,2006,D,11,928
2,10,2006,R,12,929
1,8,2006,R,9,930
0,12,2006,R,12,932
1,12,2006,R,13,934
12,0,2006,D,12,935
1,12,2006,R,13,936
4,8,2006,D,12,937
1,11,2006,D,12,938
7,4,2006,D,11,939
9,3,2006,D,12,940
0,12,2006,R,12,941
0,12,2006,R,12,942
0,11,2006,R,11,943
7,5,2006,D,12,944
0,8,2006,R,8,945
5,7,2006,R,12,947
2,10,2006,R,12,948
12,0,2006,D,12,949
1,11,2006,R,12,950
0,12,2006,R,12,951
0,12,2006,R,12,952
1,11,2006,R,12,953
11,1,2006,D,12,954
8,1,2006,D,9,955
3,9,2006,R,12,956
6,6,2006,R,12,957
12,0,2006,D,12,958
10,2,2006,D,12,959
10,2,2006,D,12,960
0,12,2006,R,12,961
0,11,2006,R,11,962
9,1,2006,D,10,963
12,0,2006,D,12,964
8,4,2006,R,12,965
12,0,2006,D,12,966
7,4,2006,D,11,967
3,9,2006,R,12,968
11,1,2006,D,12,969
2,10,2006,R,12,970
12,0,2006,D,12,971
11,1,2006,D,12,972
12,0,2006,D,12,973
3,9,2006,R,12,974
8,4,2006,R,12,975
12,0,2006,D,12,976
4,8,2006,R,12,977
0,11,2006,R,11,979
2,18,2007,R,20,980
2,18,2007,R,20,981
3,17,2007,R,20,982
2,18,2007,R,20,983
14,6,2007,D,20,984
1,19,2007,R,20,985
16,4,2007,D,20,986
2,18,2007,R,20,987
2,18,2007,R,20,988
1,19,2007,R,20,989
1,19,2007,R,20,990
18,2,2007,D,20,991
20,0,2007,D,20,993
3,17,2007,R,20,994
18,2,2007,D,20,995
19,1,2007,D,20,997
14,6,2007,D,20,998
17,3,2007,D,20,999
2,18,2007,R,20,1000
12,8,2007,D,20,1001
18,2,2007,D,20,1002
0,20,2007,R,20,1003
1,19,2007,R,20,1004
1,19,2007,R,20,1005
19,1,2007,D,20,1006
19,1,2007,D,20,1007
19,1,2007,D,20,1008
19,1,2007,D,20,1010
20,0,2007,D,20,1011
18,2,2007,D,20,1013
16,4,2007,D,20,1014
20,0,2007,D,20,1015
18,2,2007,D,20,1016
18,2,2007,D,20,1017
20,0,2007,D,20,1018
18,2,2007,D,20,1019
13,7,2007,D,20,1020
0,20,2007,R,20,1021
15,5,2007,D,20,1022
0,20,2007,R,20,1023
0,20,2007,R,20,1025
19,1,2007,D,20,1026
3,17,2007,R,20,1027
2,18,2007,R,20,1028
3,17,2007,R,20,1029
19,1,2007,D,20,1030
17,3,2007,D,20,1031
19,1,2007,D,20,1032
19,1,2007,D,20,1033
17,3,2007,D,20,1034
19,1,2007,D,20,1035
18,2,2007,D,20,1036
17,3,2007,D,20,1037
20,0,2007,D,20,1038
18,2,2007,D,20,1039
1,2,2007,D,3,1040
3,0,2007,D,3,1041
18,2,2007,D,20,1042
19,1,2007,D,20,1043
3,17,2007,R,20,1044
3,17,2007,R,20,1045
1,19,2007,R,20,1046
17,3,2007,D,20,1047
0,20,2007,R,20,1048
6,14,2007,R,20,1049
2,18,2007,R,20,1050
18,2,2007,D,20,1051
4,16,2007,R,20,1053
0,20,2007,R,20,1054
5,15,2007,R,20,1055
18,2,2007,D,20,1057
1,19,2007,R,20,1058
19,1,2007,D,20,1059
19,1,2007,D,20,1060
19,1,2007,D,20,1061
14,6,2007,D,20,1062
1,19,2007,R,20,1063
1,19,2007,R,20,1065
2,18,2007,R,20,1066
18,2,2007,D,20,1068
18,2,2007,D,20,1069
19,1,2007,D,20,1071
17,3,2007,D,20,1072
20,0,2007,R,20,1073
20,0,2007,D,20,1075
19,1,2007,R,20,1076
2,18,2007,R,20,1077
13,7,2007,D,20,1078
17,3,2007,D,20,1079
1,19,2007,R,20,1080
4,16,2007,R,20,1081
3,17,2007,R,20,1082
1,19,2007,R,20,1083
3,17,2007,R,20,1084
3,17,2007,R,20,1085
7,13,2007,R,20,1086
19,1,2007,D,20,1088
1,19,2007,R,20,1089
5,15,2007,R,20,1091
1,19,2007,R,20,1092
1,19,2007,R,20,1093
15,5,2007,D,20,1095
17,3,2007,D,20,1096
6,14,2007,R,20,1097
17,3,2007,D,20,1098
18,2,2007,D,20,1099
4,16,2007,R,20,1100
15,5,2007,D,20,1102
18,2,2007,D,20,1103
1,19,2007,R,20,1104
13,7,2007,R,20,1105
0,20,2007,R,20,1106
15,5,2007,D,20,1107
11,9,2007,D,20,1108
19,1,2007,D,20,1109
19,1,2007,D,20,1111
2,18,2007,R,20,1112
0,20,2007,R,20,1113
0,20,2007,R,20,1114
0,7,2007,R,7,1116
1,19,2007,R,20,1117
0,20,2007,R,20,1118
13,7,2007,D,20,1119
16,4,2007,D,20,1120
14,6,2007,D,20,1121
18,2,2007,D,20,1123
0,20,2007,R,20,1125
1,19,2007,R,20,1126
17,3,2007,D,20,1127
19,1,2007,D,20,1128
18,2,2007,D,20,1129
16,4,2007,D,20,1130
18,2,2007,D,20,1131
3,17,2007,R,20,1133
19,1,2007,D,20,1134
17,3,2007,D,20,1135
20,0,2007,D,20,1136
18,2,2007,R,20,1137
5,15,2007,R,20,1138
15,5,2007,D,20,1139
11,9,2007,R,20,1140
2,17,2007,R,19,1141
15,5,2007,R,20,1142
0,20,2007,R,20,1143
17,3,2007,D,20,1145
7,13,2007,R,20,1146
2,18,2007,R,20,1147
17,3,2007,D,20,1148
17,3,2007,D,20,1150
1,19,2007,R,20,1151
1,19,2007,R,20,1152
1,19,2007,R,20,1153
1,19,2007,R,20,1154
14,6,2007,D,20,1155
15,5,2007,D,20,1157
17,3,2007,D,20,1159
17,3,2007,D,20,1161
18,2,2007,D,20,1163
15,5,2007,D,20,1164
1,19,2007,R,20,1165
0,20,2007,R,20,1166
2,18,2007,R,20,1167
14,6,2007,D,20,1169
17,3,2007,D,20,1170
1,19,2007,R,20,1171
3,17,2007,R,20,1172
0,20,2007,R,20,1173
20,0,2007,D,20,1175
0,20,2007,R,20,1176
1,19,2007,R,20,1177
20,0,2007,D,20,1178
1,19,2007,R,20,1179
15,5,2007,D,20,1180
11,9,2007,D,20,1181
0,20,2007,R,20,1182
2,18,2007,R,20,1183
1,19,2007,R,20,1184
0,20,2007,R,20,1185
20,0,2007,D,20,1186
20,0,2007,D,20,1187
12,8,2007,R,20,1188
16,4,2007,D,20,1189
17,3,2007,D,20,1191
20,0,2007,D,20,1192
18,2,2007,D,20,1193
9,11,2007,R,20,1194
19,1,2007,D,20,1195
19,1,2007,D,20,1196
20,0,2007,D,20,1197
19,1,2007,D,20,1198
20,0,2007,D,20,1199
16,4,2007,D,20,1200
12,1,2007,D,13,1201
